Time,Click alternative,Participant,Training,Correct target,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Red,Yellow,Dark green,Blue,2nd longest dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y,Calibration Median
14:47:55:383,Offset Menu,1,0,1,10099,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.htm,1097,,,2191,824,1391,,,,,,,,,,,,,,,,,,,,,87.80323029,282.5,131,15,,,173.5449649
14:48:00:832,Offset Menu,1,0,1,2428,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.htm,425,,,851,356,795,,,,,,,,,,,,,,,,,,,,,88.45910645,181.5,63,17,,,173.5449649
14:48:26:008,Offset Menu,1,0,1,22154,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.htm,584,,,2567,1150,5976,,,,,,,,,,,,,,,,,,,,,273.3271484,749,139,14,,,173.5449649
14:51:09:039,Letter Assignment,1,0,1,1399,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,562,738,98,,,,,,,,,,,,,,,,,,,,,,,,87.85051346,262.5,55,15,,,173.5449649
14:51:12:999,Letter Assignment,1,0,1,941,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.htm,664,0,276,,,,,,,,,,,,,,,,,,,,,,,,88.45910645,181.5,63,17,,,173.5449649
14:51:18:847,Letter Assignment,1,0,1,2833,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Business_Studies.htm,2019,506,307,,,,,,,,,,,,,,,,,,,,,,,,88.13080978,222.5,97,15,,,173.5449649
14:51:23:095,Letter Assignment,1,0,1,1229,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Geography.htm,797,0,431,,,,,,,,,,,,,,,,,,,,,,,,87.76922607,322.5,63,15,,,173.5449649
14:51:30:767,Letter Assignment,1,0,1,4643,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Geography.Climate_and_the_Weather.htm,2551,1631,459,,,,,,,,,,,,,,,,,,,,,,,,464.9863281,687,143,14,,,173.5449649
14:51:35:815,Letter Assignment,1,0,1,2001,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.htm,1602,0,398,,,,,,,,,,,,,,,,,,,,,,,,87.80323029,282.5,131,15,,,173.5449649
14:51:40:032,Letter Assignment,1,0,1,1202,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Geography.htm,749,0,452,,,,,,,,,,,,,,,,,,,,,,,,87.76922607,322.5,63,15,,,173.5449649
14:51:43:943,Letter Assignment,1,0,1,891,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Geography.African_Geography.htm,341,503,46,,,,,,,,,,,,,,,,,,,,,,,,272.9882813,495,111,14,,,173.5449649
14:51:48:248,Letter Assignment,1,0,1,1265,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Citizenship.htm,865,0,398,,,,,,,,,,,,,,,,,,,,,,,,88.11529541,242.5,63,15,,,173.5449649
14:51:52:144,Letter Assignment,1,0,1,860,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Citizenship.htm,441,0,418,,,,,,,,,,,,,,,,,,,,,,,,88.11529541,242.5,63,15,,,173.5449649
14:51:56:153,Letter Assignment,1,0,0,993,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Language_and_literature.htm,443,518,31,,,,,,,,,,,,,,,,,,,,,,,,88.45417786,382.5,133,15,,,173.5449649
14:52:00:081,Letter Assignment,1,0,0,904,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Geography.htm,1,516,386,,,,,,,,,,,,,,,,,,,,,,,,87.76922607,322.5,63,15,,,173.5449649
14:52:07:729,Letter Assignment,1,0,1,4625,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.History.North_American_History.htm,2537,1703,384,,,,,,,,,,,,,,,,,,,,,,,,848.6523438,789,137,14,,,173.5449649
14:52:12:097,Letter Assignment,1,0,1,1329,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.IT.htm,749,520,59,,,,,,,,,,,,,,,,,,,,,,,,88.14930725,362.5,131,15,,,173.5449649
14:52:17:666,Letter Assignment,1,0,1,2550,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/alpha.htm,547,1571,430,,,,,,,,,,,,,,,,,,,,,,,,87.87384033,532.5,113,17,,,173.5449649
14:52:21:705,Letter Assignment,1,0,1,1026,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Design_and_Technology.htm,628,0,397,,,,,,,,,,,,,,,,,,,,,,,,87.80323029,282.5,131,15,,,173.5449649
14:52:28:145,Letter Assignment,1,0,1,3426,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.People.htm,835,520,12,,,,,,,,,,,,,,,,,,,,,,,,87.97486877,442.5,41,15,,,173.5449649
14:52:32:209,Letter Assignment,1,0,1,1042,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.People.Computing_People.htm,603,0,438,,,,,,,,,,,,,,,,,,,,,,,,273.0019531,705,109,14,,,173.5449649
14:52:37:970,Letter Assignment,1,0,1,2716,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/s/Steve_Jobs.htm,2324,0,391,,,,,,,,,,,,,,,,,,,,,,,,259,451.5,82,19,,,173.5449649
14:52:42:242,Letter Assignment,1,0,1,1019,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Citizenship.htm,655,0,363,,,,,,,,,,,,,,,,,,,,,,,,88.11529541,242.5,63,15,,,173.5449649
14:52:46:162,Letter Assignment,1,0,1,891,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Citizenship.Education.htm,446,0,444,,,,,,,,,,,,,,,,,,,,,,,,272.9990234,651,61,14,,,173.5449649
14:52:50:290,Letter Assignment,1,0,1,1111,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/e/Education.htm,779,0,331,,,,,,,,,,,,,,,,,,,,,,,,503,289.5,74,19,,,173.5449649
14:52:54:818,Letter Assignment,1,0,1,1246,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Language_and_literature.htm,884,0,361,,,,,,,,,,,,,,,,,,,,,,,,88.45417786,382.5,133,15,,,173.5449649
14:52:59:123,Letter Assignment,1,0,1,1192,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/alpha.htm,825,0,367,,,,,,,,,,,,,,,,,,,,,,,,87.87384033,532.5,113,17,,,173.5449649
14:53:02:850,Letter Assignment,1,0,1,714,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,389,0,324,,,,,,,,,,,,,,,,,,,,,,,,88.26295471,502.5,47,15,,,173.5449649
14:53:06:795,Letter Assignment,1,0,1,927,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Science.Biology.htm,484,0,442,,,,,,,,,,,,,,,,,,,,,,,,273.0009766,549,47,14,,,173.5449649
14:53:10:995,Letter Assignment,1,0,1,1134,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Science.Biology.Mammals.htm,727,0,406,,,,,,,,,,,,,,,,,,,,,,,,464.6542969,705,57,14,,,173.5449649
14:53:15:123,Letter Assignment,1,0,1,1106,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Geography.htm,734,0,371,,,,,,,,,,,,,,,,,,,,,,,,87.76922607,322.5,63,15,,,173.5449649
14:53:25:699,Letter Assignment,1,0,1,7548,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Geography.Antarctica.htm,7032,506,8,,,,,,,,,,,,,,,,,,,,,,,,656.65625,495,61,14,,,173.5449649
14:53:30:667,Letter Assignment,1,0,1,1934,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.History.htm,504,520,392,,,,,,,,,,,,,,,,,,,,,,,,87.98978424,342.5,41,15,,,173.5449649
14:54:59:135,Gaze and Click,1,0,1,742,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Citizenship.htm,406,,335,,,,,,,,,,,,,,,,,,,,,,,,88.11529541,242.5,63,15,,,173.5449649
14:55:05:623,Gaze and Click,1,0,0,3466,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Business_Studies.htm,434,,3031,,,,,,,,,,,,,,,,,,,,,,,,88.13080978,222.5,97,15,,,173.5449649
14:55:09:480,Gaze and Click,1,0,0,839,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/b/Brush.htm,1250,,839,,,,,,,,,,,,,,,,,,,,,,,,240,625.5,44,19,,,173.5449649
14:55:13:719,Gaze and Click,1,0,0,892,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Countries.htm,2278,,892,,,,,,,,,,,,,,,,,,,,,,,,87.85051346,262.5,55,15,,,173.5449649
14:55:17:504,Gaze and Click,1,0,1,766,file:///C:/wikipedia/wikipedia-schools-3.0.1/wp/index/subject.Language_and_literature.htm,484,,282,,,,,,,,,,,,,,,,,,,,,,,,88.45417786,382.5,133,15,,,173.5449649
