Time,Click alternative,Participant,Training,Correct target,Link Density,Click time,Address,Found target,Letters shown,Key pressed,Activated buttons,Found rectangle,Key released,Dwell target,Found confirm,Dwell confirm,Mouse clicked,Clicked button,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,2nd longest dwell,Total dwell,Dark grey,Dark orange,Violet,Cyan,Yellow,Dark green,Blue,Link centre X,Link centre Y,Link width,Link height,Gaze X,Gaze Y
16:27:21:921,A Posteriori,1,0,1,2,1187,file:///C:/wikipedia-schools-3.0.1/wp/v/Vinaya.htm,,,,,,,,950,236,,Blue,0,0,0,0,0,0,1,266,266,0,0,0,0,290,0,266,243.5,583.5,51,19,,
16:27:25:549,A Posteriori,1,0,1,2,1199,file:///C:/wikipedia-schools-3.0.1/wp/g/Gautama_Buddha.htm,,,,,,,,957,242,,Yellow,0,0,0,0,1,0,0,271,271,0,0,0,0,271,0,297,810.6875,202.5,58,19,,
16:27:29:365,A Posteriori,1,0,1,1,1349,file:///C:/wikipedia-schools-3.0.1/wp/2/20th_century.htm,,,,,,,,1136,213,,Cyan,0,0,0,1,0,0,0,220,302,0,0,0,242,220,0,0,381.953125,466.5,92,19,,
16:27:33:446,A Posteriori,1,0,1,4,1609,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Science.htm,,,,,,,,1374,234,,Blue,0,0,0,0,0,0,1,150,507,0,0,0,150,62,121,263,88.26295471,502.5,47,15,,
16:27:36:937,A Posteriori,1,0,1,2,1058,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Science.Physics.htm,,,,,,,,853,204,,Yellow,0,0,0,0,1,0,0,234,234,0,0,0,0,234,0,289,656.8223877,525,47,14,,
16:27:40:354,A Posteriori,1,0,1,1,972,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Science.Physics.The_Planets.htm,,,,,,,,759,212,,Yellow,0,0,0,0,1,0,0,0,242,0,0,0,0,278,0,0,849.0715942,513,69,14,,
16:27:44:024,A Posteriori,1,0,1,6,1238,file:///C:/wikipedia-schools-3.0.1/wp/m/Mars.htm,,,,,,,,997,241,,Yellow,0,0,0,0,1,0,0,0,270,0,0,0,0,270,0,0,453,317.5,38,19,,
16:27:53:605,A Posteriori,1,0,1,1,7039,file:///C:/wikipedia-schools-3.0.1/wp/l/Light.htm,,,,,,,,1285,5753,,Dark Grey,1,0,0,0,0,0,0,127,1523,258,61,60,120,127,0,0,289.3203125,530.5,33,19,,
16:27:57:122,A Posteriori,1,0,1,1,1023,file:///C:/wikipedia-schools-3.0.1/wp/u/Ultraviolet.htm,,,,,,,,804,218,,Dark Green,0,0,0,0,0,1,0,248,340,266,0,0,0,91,248,0,617.578125,274.5,72,19,,
16:28:00:723,A Posteriori,1,0,1,1,1129,file:///C:/wikipedia-schools-3.0.1/wp/l/Latin.htm,,,,,,,,918,210,,Yellow,0,0,0,0,1,0,0,171,240,0,0,0,0,240,171,0,482.8203125,792.5,38,19,,
16:28:05:380,A Posteriori,1,0,1,1,2187,file:///C:/wikipedia-schools-3.0.1/wp/i/Italy.htm,,,,,,,,1975,212,,Blue,0,0,0,0,0,0,1,196,1107,0,0,0,0,196,151,712,546.3046875,274.5,118,19,,
16:30:18:905,Multiple Confirm,1,0,1,4,2462,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.htm,,,,,,,,2252,210,,0x808080ff,0,0,0,0,0,0,0,0,209,209,0,0,0,0,0,0,88.45910645,181.5,63,17,,
16:30:23:919,Multiple Confirm,1,0,1,6,2564,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Language_and_literature.htm,,,,,,,436,1912,216,,0x808080ff,0,0,0,0,0,0,0,0,215,215,0,0,0,0,0,0,88.45417786,382.5,133,15,,
16:30:29:713,Multiple Confirm,1,0,1,1,3352,file:///C:/wikipedia-schools-3.0.1/wp/index/subject.Language_and_literature.Linguistics.htm,,,,,,,,3085,267,,0x808080ff,0,0,0,0,0,0,0,0,267,267,0,0,0,0,0,0,849.0338745,459,65,14,,
16:30:34:576,Multiple Confirm,1,0,1,2,2434,file:///C:/wikipedia-schools-3.0.1/wp/v/Vowel.htm,,,,,,,,2150,283,,0x808080ff,0,0,0,0,0,0,0,272,282,282,0,0,0,0,0,272,241,465.5,46,19,,
